train_number,train_name,type,from_code,from_name,departure_time,to_code,to_name,arrival_time,duration,distance_km,avg_speed_kmph,total_halts,run_days
26406,SMVD Katra - Amritsar Vande Bharat Express,Vande Bharat Express,SVDK,Shri Mata Vaishno Devi Katra,06:40,ASR,Amritsar Jn,11:40,5h 0m,284.4,56.9,6,"mon,tue,wed,thu,fri,sun"
26461,Delhi - Firozpur Cantt Vande Bharat Express,Vande Bharat Express,DLI,Delhi Jn,16:00,FZR,Firozpur Cantt Jn,22:35,6h 35m,486.8,73.9,10,"mon,tue,thu,fri,sat,sun"
26462,Firozpur Cantt - Delhi Vande Bharat Express,Vande Bharat Express,FZR,Firozpur Cantt Jn,07:55,DLI,Delhi Jn,14:35,6h 40m,486.8,73,10,"mon,tue,thu,fri,sat,sun"
26471,Bikaner - Delhi Cantt Vande Bharat Express,Vande Bharat Express,BKN,Bikaner Jn,05:40,DEC,Delhi Cantt,11:55,6h 15m,445.7,71.3,9,"mon,tue,thu,fri,sat,sun"
26472,Delhi Cantt - Bikaner Vande Bharat Express,Vande Bharat Express,DEC,Delhi Cantt,16:45,BKN,Bikaner Jn,22:50,6h 5m,445.7,73.3,9,"mon,tue,thu,fri,sat,sun"
26481,Jodhpur - Delhi Cantt Vande Bharat Express,Vande Bharat Express,JU,Jodhpur Jn,05:30,DEC,Delhi Cantt,13:30,8h 0m,604,75.5,11,"mon,wed,thu,fri,sat,sun"
26482,Delhi Cantt - Jodhpur Vande Bharat Express,Vande Bharat Express,DEC,Delhi Cantt,15:10,JU,Jodhpur Jn,23:20,8h 10m,604,74,11,"mon,wed,thu,fri,sat,sun"
26501,Patliputra - Gorakhpur Vande Bharat Express,Vande Bharat Express,PPTA,Patliputra Jn,15:30,GKP,Gorakhpur Jn,22:30,7h 0m,384.2,54.9,10,"mon,tue,wed,thu,fri,sun"
26502,Gorakhpur - Patliputra Vande Bharat Express,Vande Bharat Express,GKP,Gorakhpur Jn,05:40,PPTA,Patliputra Jn,12:45,7h 5m,384.2,54.2,10,"mon,tue,wed,thu,fri,sun"
26504,Gomti Nagar - Saharanpur Vande Bharat Express,Vande Bharat Express,GTNR,Gomti Nagar,15:10,SRE,Saharanpur Jn,23:50,8h 40m,533.5,61.6,9,"tue,wed,thu,fri,sat,sun"
26505,Khajauraho - Banaras Vande Bharat Express,Vande Bharat Express,KURJ,Khajauraho,15:20,BNRS,Banaras,23:10,7h 50m,468.9,59.9,7,"mon,tue,wed,fri,sat,sun"
26506,Banaras - Khajauraho Vande Bharat Express,Vande Bharat Express,BNRS,Banaras,05:15,KURJ,Khajauraho,13:10,7h 55m,468.9,59.2,7,"mon,tue,wed,fri,sat,sun"
26651,KSR Bengaluru - Ernakulam Vande Bharat Express,Vande Bharat Express,SBC,KSR Bengaluru,05:10,ERS,Ernakulam Jn,13:50,8h 40m,630.9,72.8,9,"mon,tue,thu,fri,sat,sun"
26652,Ernakulam - KSR Bengaluru Vande Bharat Express,Vande Bharat Express,ERS,Ernakulam Jn,14:20,SBC,KSR Bengaluru,23:00,8h 40m,630.9,72.8,9,"mon,tue,thu,fri,sat,sun"
26751,Belagavi - KSR Bengaluru Vande Bharat Express,Vande Bharat Express,BGM,Belagavi,05:35,SBC,KSR Bengaluru,13:50,8h 15m,612.6,74.3,8,"mon,tue,thu,fri,sat,sun"
26752,KSR Bengaluru - Belagavi Vande Bharat Express,Vande Bharat Express,SBC,KSR Bengaluru,14:20,BGM,Belagavi,22:30,8h 10m,612.6,75,8,"mon,tue,thu,fri,sat,sun"
26901,Sabarmati BG - Veraval Vande Bharat Express,Vande Bharat Express,SBIB,Sabarmati BG,06:00,VRL,Veraval,12:55,6h 55m,448.4,64.8,10,"mon,tue,wed,fri,sat,sun"
26902,Veraval - Sabarmati BG Vande Bharat Express,Vande Bharat Express,VRL,Veraval,15:50,SBIB,Sabarmati BG,22:25,6h 35m,448.4,68.1,9,"mon,tue,wed,fri,sat,sun"
27575,Howrah - Kamakhya Vande Bharat Express,Vande Bharat Express,HWH,Howrah,18:20,KYQ,Kamakhya Jn,08:20,14h 0m,968.4,69.2,15,"mon,tue,wed,fri,sat,sun"
